"Title","Body","Submitted"
"17054","Does anyone get blisters on their feet from walking so much around school?","November 23, 2018 11"
"17053","It's been a few months since that whole sexual harassment scandal rocked ateneo. The silence is deafening. Some of the profs who have been so vocal about issues like martial law etc never spoke up about this particular issue. And now they're opening up about that fucking upsilon scandal like it's the worst shit ever? Fuck you hypocrites.","November 23, 2018 10"
"17052","I think the reason why we really hate Filipino in college is not because of the language, but the topics in it. I’d understand if Filipino was about learning how to speak deeper Tagalog, learning like street tagalog culture, or anything related at our present times. 
Instead college Filipino (at least what i experienced here) for me had very unnecessary or lack of better term, useless topics. Lol So in Filipino, we learn about a girl falling in love with nature getting horny, we learn about the ancient Filipinos and their super weird cultures, and we are REQUIRED to memorize authors of books that we’ll probably never read again. What I’m trying to say is that these topics are not very applicable in our present society. Sure i can understand a girl loves nature, sure i can study about the ancient Filipino culture, sure i can memorize random authors names, BUT in the end, after I graduate, I’m sure all these things I learned will be forgotten simply because they’re useless. It’s not very applicable in life to talk about authors I memorized lol. I guess thats why people are against the Filipino subject. It’s not because Filipino sucks, it’s more because the topics being taught are really useless...","November 23, 2018 10:33:48 AM +08"
"17051","Tangina this OBF wifi is pure shit. 
To all those people who say that there are thousands of students here in ateneo, well guess what, we PAID THOUSANDS for internet in campus. You guys backing up the IT team or whatever are just naive. They are supposed to have enough funds to connect us and have stable internet. -.-
Everywhere I go, lagi may nagdadala ng mobile wifi or personal hotspot. Accept na nila na the school wifi is not trustable. But that is not fair. Lol they were taken advantage of. They paid to have internet, and never got what they paid for. Instead they had to pay even more (hotspot or mobile wifi) to have wifi. 
 Edi sana tanggalin nlg un internet sa school tuition noh?","November 23, 2018 10:17:39 AM +08"
"17050","Sometimes mood: puTanGinAaaAAaAa

24/7 mood: putangina  But current mood: putANGINAAAAAA Ugh. Life. Fuck it. Jk I have acads to pursue :'>","November 23, 2018 10:15:55 AM +08"
"17049","The Marisol PA announcements really need more thought and effort put into them :((
I honestly feel more discouraged to watch because of how hastily prepared them sound :((","November 23, 2018 10:02:43 AM +08"
"17048","https://tonite.abante.com.ph/ateneo-student-ginulpi-hinolda…

Tag away","November 23, 2018 9:55:58 AM +08"
"17047","GRABE ANG LUBAK SA COVERED COURTS WTF","November 23, 2018 9"
"17046","I'm free-falling and I'm not sure if you're there to catch me at the bottom.","November 23, 2018 8"
"17045","I thought that the east carpark is strictly for students only? Why is there a white Innova parked beside me with a driver in it?","November 23, 2018 8"
